frame,Species,Top-2 Genus,Top-3 Genus
bruv_shark2_frame25.jpg,Carcharhinus limbatus,Prionace,Alopias
bruv_shark2_frame24.jpg,Carcharhinus melanopterus,Triakis,Prionace
bruv_shark2_frame23.jpg,Carcharhinus leucas,Prionace,Triakis
bruv_shark2_frame22.jpg,Negaprion brevirostris,Prionace,Carcharhinus
bruv_shark2_frame21.jpg,Carcharhinus species,Triakis,Prionace
bruv_shark2_frame17.jpg,Carcharhinus leucas,Negaprion,Prionace
bruv_shark2_frame16.jpg,Carcharhinus species,Negaprion,Carcharias
bruv_shark2_frame15.jpg,Carcharhinus leucas,Negaprion,Carcharias
bruv_shark2_frame13.jpg,Carcharhinus perezi,Prionace,Triakis
bruv_shark2_frame12.jpg,Carcharhinus species,Negaprion,Prionace
bruv_shark2_frame11.jpg,Triakis species,Carcharhinus,Alopias
bruv_shark2_frame9.jpg,Carcharhinus species,Prionace,other_genus
bruv_shark2_frame8.jpg,Carcharhinus perezi,Prionace,Mustelus
bruv_shark2_frame7.jpg,Carcharhinus amblyrhynchos,Alopias,Prionace
bruv_shark2_frame1.jpg,Carcharhinus species,Prionace,Triakis
