video,img_name,time_s,genus,species,detection_threshold
greyreef,frame38,2.0,Prionace,,0.80199456
greyreef,frame41,2.0,Prionace,,0.88970935
greyreef,frame43,2.0,Prionace,,0.8149785
greyreef,frame44,2.0,Prionace,,0.8472953
greyreef,frame46,3.0,Prionace,,0.82986426
greyreef,frame47,3.0,Prionace,,0.85345924
greyreef,frame53,3.0,Carcharhinus,Carcharhinus melanopterus,0.81945384
greyreef,frame54,3.0,Carcharhinus,Carcharhinus melanopterus,0.8620526
greyreef,frame55,3.0,Carcharhinus,Carcharhinus amblyrhynchos,0.8672505
greyreef,frame56,3.0,Carcharhinus,Carcharhinus galapagensis,0.8351213
greyreef,frame62,4.0,Prionace,,0.80607957
greyreef,frame63,4.0,Prionace,,0.836705
greyreef,frame64,4.0,Alopias,Alopias vulpinus,0.8239037
greyreef,frame65,4.0,Alopias,Alopias vulpinus,0.90101343
greyreef,frame66,4.0,Alopias,Alopias vulpinus,0.863096
greyreef,frame111,7.0,Alopias,Alopias vulpinus,0.8123172
greyreef,frame120,8.0,Carcharhinus,Carcharhinus species,0.8402203
greyreef,frame121,8.0,Prionace,,0.84871346
greyreef,frame122,8.0,Carcharhinus,Carcharhinus amblyrhynchos,0.8859269
greyreef,frame123,8.0,Carcharhinus,Carcharhinus amblyrhynchos,0.91218823
greyreef,frame124,8.0,Carcharhinus,Carcharhinus limbatus,0.8746707
greyreef,frame125,8.0,Carcharhinus,Carcharhinus limbatus,0.9052429
greyreef,frame126,8.0,Carcharhinus,Carcharhinus limbatus,0.9117418
greyreef,frame127,8.0,Carcharhinus,Carcharhinus limbatus,0.945509
greyreef,frame128,8.0,Carcharhinus,Carcharhinus limbatus,0.9369912
greyreef,frame129,8.0,Carcharhinus,Carcharhinus limbatus,0.9426421
greyreef,frame130,8.0,Carcharhinus,Carcharhinus limbatus,0.9085477
greyreef,frame131,8.0,Carcharhinus,Carcharhinus limbatus,0.9226132
greyreef,frame132,8.0,Carcharhinus,Carcharhinus limbatus,0.96590483
greyreef,frame133,8.0,Carcharhinus,Carcharhinus galapagensis,0.9569716
greyreef,frame134,8.0,Carcharhinus,Carcharhinus limbatus,0.93434495
greyreef,frame137,9.0,Prionace,,0.9595713
greyreef,frame138,9.0,Sphyrna,Sphyrna lewini,0.95734227
greyreef,frame139,9.0,Carcharhinus,Carcharhinus melanopterus,0.8124367
greyreef,frame160,10.0,Carcharhinus,Carcharhinus melanopterus,0.8337454
greyreef,frame161,10.0,Carcharhinus,Carcharhinus amblyrhynchos,0.9197309
greyreef,frame162,10.0,Carcharhinus,Carcharhinus galapagensis,0.9545979
greyreef,frame163,10.0,Carcharhinus,Carcharhinus limbatus,0.93589276
greyreef,frame164,10.0,Carcharhinus,Carcharhinus galapagensis,0.93047994
greyreef,frame166,11.0,Carcharhinus,Carcharhinus limbatus,0.8269592
greyreef,frame167,11.0,Sphyrna,Sphyrna lewini,0.87787527
greyreef,frame168,11.0,Carcharhinus,Carcharhinus limbatus,0.81202006
greyreef,frame169,11.0,Sphyrna,Sphyrna lewini,0.83018035
greyreef,frame170,11.0,Carcharhinus,Carcharhinus limbatus,0.8260046
greyreef,frame171,11.0,Carcharhinus,Carcharhinus amblyrhynchos,0.864567
greyreef,frame172,11.0,Carcharhinus,Carcharhinus amblyrhynchos,0.8113907
greyreef,frame176,11.0,Carcharhinus,Carcharhinus amblyrhynchos,0.81314224
greyreef,frame212,14.0,Prionace,,0.87571436
greyreef,frame215,14.0,Carcharhinus,Carcharhinus melanopterus,0.8775528
greyreef,frame216,14.0,Carcharhinus,Carcharhinus amblyrhynchos,0.92646277
greyreef,frame217,14.0,Carcharhinus,Carcharhinus galapagensis,0.89642173
greyreef,frame218,14.0,Prionace,,0.880157
greyreef,frame219,14.0,Prionace,,0.84245765
greyreef,frame221,14.0,Carcharhinus,Carcharhinus amblyrhynchos,0.91903806
greyreef,frame223,14.0,Carcharhinus,Carcharhinus amblyrhynchos,0.8115453
greyreef,frame224,14.0,Prionace,,0.8448981
