frame,Species,Top-2 Genus,Top-3 Genus
requiem_1_frame129.jpg,Triakis semifasciata,Prionace,other_genus
requiem_1_frame128.jpg,Prionace glauca,Carcharias,Carcharhinus
requiem_1_frame127.jpg,Carcharhinus leucas,Prionace,Triakis
requiem_1_frame124.jpg,Prionace glauca,Carcharhinus,Carcharias
requiem_1_frame123.jpg,Prionace glauca,Carcharhinus,Carcharias
requiem_1_frame122.jpg,Carcharhinus species,Prionace,Triakis
requiem_1_frame121.jpg,Prionace glauca,Triakis,Carcharhinus
requiem_1_frame120.jpg,Prionace glauca,Triakis,Carcharhinus
requiem_1_frame119.jpg,Triakis species,Prionace,Carcharhinus
requiem_1_frame118.jpg,Triakis semifasciata,Prionace,Carcharhinus
requiem_1_frame117.jpg,Triakis semifasciata,Carcharhinus,Prionace
requiem_1_frame116.jpg,Triakis species,Carcharhinus,Prionace
requiem_1_frame115.jpg,Triakis species,Carcharhinus,Carcharias
requiem_1_frame114.jpg,Triakis species,Carcharhinus,Carcharias
requiem_1_frame113.jpg,Triakis species,Carcharhinus,Alopias
requiem_1_frame112.jpg,Triakis species,Alopias,Carcharhinus
requiem_1_frame111.jpg,Triakis species,Carcharhinus,Carcharias
requiem_1_frame110.jpg,Carcharhinus leucas,Triakis,Alopias
requiem_1_frame109.jpg,Triakis species,Carcharhinus,Carcharias
requiem_1_frame108.jpg,Triakis species,Carcharhinus,Ginglymostoma
requiem_1_frame107.jpg,Triakis species,Carcharhinus,Prionace
requiem_1_frame106.jpg,Triakis species,Carcharhinus,Ginglymostoma
requiem_1_frame105.jpg,Triakis species,Carcharhinus,Squalus
requiem_1_frame104.jpg,Carcharhinus melanopterus,Triakis,Carcharias
requiem_1_frame103.jpg,Triakis species,Carcharhinus,Ginglymostoma
requiem_1_frame102.jpg,Carcharhinus melanopterus,Triakis,Squalus
requiem_1_frame101.jpg,Triakis species,Carcharhinus,Squalus
requiem_1_frame100.jpg,Triakis semifasciata,Carcharhinus,Prionace
requiem_1_frame98.jpg,Prionace glauca,Isurus,Triaenodon
requiem_1_frame97.jpg,Prionace glauca,Triaenodon,Isurus
requiem_1_frame96.jpg,Carcharias taurus,Prionace,Carcharhinus
requiem_1_frame95.jpg,Alopias vulpinus,Carcharhinus,other_genus
requiem_1_frame94.jpg,Carcharhinus species,Prionace,Rhincodon
requiem_1_frame93.jpg,Carcharhinus amblyrhynchos,Prionace,Squalus
requiem_1_frame92.jpg,Carcharhinus limbatus,Prionace,Mustelus
requiem_1_frame91.jpg,Carcharhinus species,Prionace,Alopias
requiem_1_frame90.jpg,Carcharhinus leucas,Prionace,Alopias
