frame,Species,Top-2 Genus,Top-3 Genus
tiger_bruv_frame59.jpg,Prionace glauca,other_genus,Carcharhinus
tiger_bruv_frame58.jpg,Galeocerdo cuvier,Carcharhinus,Prionace
tiger_bruv_frame56.jpg,Prionace glauca,other_genus,Galeocerdo
tiger_bruv_frame55.jpg,Sphyrna tiburo,Prionace,Triaenodon
tiger_bruv_frame53.jpg,Carcharhinus melanopterus,Squalus,Triakis
tiger_bruv_frame42.jpg,Galeocerdo cuvier,Carcharhinus,Carcharias
tiger_bruv_frame41.jpg,Carcharhinus melanopterus,Galeocerdo,other_genus
tiger_bruv_frame40.jpg,Triakis semifasciata,Prionace,Carcharhinus
tiger_bruv_frame31.jpg,Galeocerdo cuvier,Prionace,Carcharhinus
tiger_bruv_frame30.jpg,Prionace glauca,Carcharhinus,Galeocerdo
tiger_bruv_frame29.jpg,Prionace glauca,Carcharhinus,Sphyrna
tiger_bruv_frame28.jpg,Galeocerdo cuvier,Carcharhinus,Prionace
tiger_bruv_frame25.jpg,Galeocerdo cuvier,Prionace,Heterodontus
tiger_bruv_frame23.jpg,Triakis species,Carcharhinus,Carcharias
tiger_bruv_frame21.jpg,Galeocerdo cuvier,Prionace,Carcharhinus
tiger_bruv_frame20.jpg,Carcharhinus melanopterus,Galeocerdo,Prionace
tiger_bruv_frame19.jpg,Galeocerdo cuvier,Carcharhinus,Prionace
tiger_bruv_frame10.jpg,Carcharhinus leucas,Galeocerdo,Prionace
tiger_bruv_frame9.jpg,Galeocerdo cuvier,Carcharhinus,Prionace
tiger_bruv_frame8.jpg,Galeocerdo cuvier,Negaprion,Prionace
